id,symbol,side,entry_rsi,volume_ratio,entry_time,exit_time,exit_reason,pnl_pct,pnl_amount,source,created_at,entry_price,exit_price,quantity,hold_minutes,entry_hour,day_of_week
162,INFY,LONG,25.410628818642067,4.116875737646119,2026-05-14T09:15:00+05:30,2026-05-14T11:00:00+05:30,stop loss (-1.78%),-1.778496362166528,-257.3999999999994,backtest,2026-06-18 15:16:31,,,,,,
64,RELIANCE,LONG,28.40937946224129,1.6041263437207829,2026-05-12T15:15:00+05:30,2026-05-13T12:45:00+05:30,RSI mid-line exit,0.21953896816684962,30.0,backtest,2026-06-18 15:16:24,,,,,,
123,TCS,LONG,18.33841866457422,6.523065284496126,2026-05-12T09:15:00+05:30,2026-05-12T15:15:00+05:30,EOD square-off,-0.5096531766941726,-70.80000000000109,backtest,2026-06-18 15:16:29,,,,,,
161,INFY,LONG,11.422717988867234,4.872741511073259,2026-05-12T09:15:00+05:30,2026-05-12T15:15:00+05:30,EOD square-off,0.07024321713934098,10.399999999999409,backtest,2026-06-18 15:16:31,,,,,,
194,HDFCBANK,LONG,21.523531728772937,1.712517605324903,2026-05-12T09:15:00+05:30,2026-05-12T15:15:00+05:30,EOD square-off,-0.17188946185375573,-24.699999999999136,backtest,2026-06-18 15:16:34,,,,,,
63,RELIANCE,LONG,17.381095927010918,3.4477193064879583,2026-05-12T09:15:00+05:30,2026-05-12T15:00:00+05:30,stop loss (-1.53%),-1.5331212033555137,-212.00000000000045,backtest,2026-06-18 15:16:24,,,,,,
95,SBIN,LONG,29.40528751363425,1.3661319756881156,2026-05-12T09:15:00+05:30,2026-05-12T14:30:00+05:30,RSI mid-line exit,0.05123475765959627,7.5,backtest,2026-06-18 15:16:26,,,,,,
62,RELIANCE,LONG,29.913331122547064,1.3029052865417272,2026-05-11T12:30:00+05:30,2026-05-11T15:15:00+05:30,EOD square-off,-1.423183661851562,-200.0,backtest,2026-06-18 15:16:24,,,,,,
94,SBIN,LONG,22.31080518291968,1.5252660770254325,2026-05-11T14:45:00+05:30,2026-05-11T15:15:00+05:30,EOD square-off,-0.010256410256412588,-1.500000000000341,backtest,2026-06-18 15:16:26,,,,,,
193,HDFCBANK,LONG,26.698558996618686,2.1547547774998024,2026-05-11T09:15:00+05:30,2026-05-11T15:15:00+05:30,EOD square-off,-0.8732212160413971,-128.25,backtest,2026-06-18 15:16:34,,,,,,
93,SBIN,LONG,13.741143921422562,2.357823579776232,2026-05-11T09:15:00+05:30,2026-05-11T11:00:00+05:30,stop loss (-1.60%),-1.6024994960693502,-238.50000000000136,backtest,2026-06-18 15:16:26,,,,,,
92,SBIN,LONG,13.02766687686892,6.135726300039982,2026-05-08T14:15:00+05:30,2026-05-08T15:15:00+05:30,EOD square-off,-0.2546523016650365,-36.40000000000032,backtest,2026-06-18 15:16:26,,,,,,
